"year","nest","ring","sex","gps","age","bodymass","DateMito","TimeMito","CMR","OXPHOS","LEAK","ETS","FCR1","FCR2","FCR3","PFOA","PFHPS","PFNA","P37DMOA","PFOS","PFDA","PFUNA","PFDODA","FTS_10_2","PFTRIDA","PFTDA","PFHXS","PFDS","PFOSA","SUMPFAS","d13C","X.C","d15N","X.N","C_N","hg","Notes","d15N.Z","d13C.Z","age.Z","bodymass.Z","hg.Z","SUMPFAS.Z"
"2020","92","TL9743","Male","y",7,710,"8/9/2020","10:00:00 PM",381.35,213.1966667,168.1533333,519.4766667,0.440942267,0.323697567,0.734104195,0.1,0.04,3.19,0.02,36.12,0.47,13.79,4.64,0.04,13.39,4.4,2.03,0.27,0.02,78.52,-18.93,48.4,8.86,14.66,3.3,5.23,"",1.00247793073197,0.275521640856887,-0.855291855252066,1.68168748779116,0.169714080988776,-0.270775189259878
"2020","92","TM1046","Female","y",6,585,"8/13/2020","10:40:00 PM",454.2866667,278.9733333,175.3133333,625.0266667,0.385909044,0.280489366,0.726827655,0.75,0.04,1.52,0.02,32.56,0.88,8.05,3.61,2.23,7.01,2.59,0.1,0.02,4.83,64.21,-18.97,49.87,8,15.2,3.28,3.35,"",-0.464498936490988,0.106470014608415,-1.14789170046988,-0.300355788843935,-0.82009166393296,-0.586839093414027
"2020","129","TM1073","Female","y",6,550,"8/7/2020","10:15:00 PM",410.4366667,255.3833333,155.0533333,544.21,0.377776514,0.284914524,0.754188028,1.98,0.04,6.03,0.02,87.17,1.76,22.17,8.11,1.28,10.36,2.48,4.2,0.02,6.41,152.03,-19.12,50.15,8.86,15.16,3.31,4.02,"",1.00247793073197,-0.527473583823377,-1.14789170046988,-0.855327906301762,-0.467341744200214,1.352834705525
"2020","129","TM1072","Male","y",6,610,"8/12/2020","10:15:00 PM",423.46,278.13,145.33,704.0966667,0.343196524,0.206406317,0.6014231,2.19,0.04,2.17,0.02,45.09,0.02,10.33,4.53,0.04,4.91,2,1.77,0.27,4.07,77.45,-18.96,47.96,7.43,14.54,3.3,3.45,"",-1.43679755778992,0.148732921170526,-1.14789170046988,0.0960528664830849,-0.767442422181804,-0.294408199563507
"2020","114_1","TE9599","Male","y",7,690,"8/7/2020","10:40:00 PM",394.5433333,165.0466667,229.4966667,590.0566667,0.581676706,0.388940045,0.668653293,1.01,0.04,2.47,0.02,42.52,0.37,7.34,2.55,0.63,2.95,0.66,0.1,0.02,4.72,65.4,-18.79,48.06,8.36,14.54,3.3,6.33,"",0.149584403276759,0.867202332726554,-0.855291855252066,1.36456056352955,0.748855740251493,-0.560555652048308
"2020","115_1","T75525","Male","n",13,700,"8/8/2020","11:30:00 PM",225.2333333,97.4,127.8333333,293.7166667,0.567559568,0.435226692,0.76683879,1.4,0.04,3.47,0.02,44.94,2.23,14.02,4.69,1.28,7.44,1.31,0.8,0.39,5.65,87.68,-18.99,50.18,8.93,15.3,3.28,5.2,"",1.1218830245757,0.0219442014841791,0.900307216054806,1.52312402566036,0.153919308463429,-0.0684589515203938
"2020","115_1","TH7257","Female","n",15,580,"8/8/2020","11:30:00 PM",179.3,116.1666667,63.13333333,285.3666667,0.352110058,0.221235837,0.628314449,6.81,0.27,9.58,0.02,125.55,6.23,21.96,8.67,0.45,6.36,2.89,7.95,0.67,7.08,204.49,-18.98,52.29,7.89,15.73,3.32,3.76,"",-0.652135512531134,0.0642071080462896,1.48550690649043,-0.379637519909339,-0.60422977275322,2.51151481816837
"2020","115_11","TJ8174","Male","n",8,650,"8/8/2020","10:15:00 PM",242.4333333,108.59,133.8433333,297.99,0.552083047,0.449153775,0.813561976,0.1,0.04,0.1,0.02,37.73,0.02,15.12,6.08,2.91,10.29,1.3,0.1,0.5,0.02,74.33,-19.12,46.09,9.06,14.15,3.26,4.21,"",1.34363534171405,-0.527473583823377,-0.562692010034254,0.730306715006316,-0.367308184873017,-0.363319407177829
"2020","115_8","TL9671","Female","n",7,640,"8/8/2020","10:32:00 PM",369.81,216.1033333,153.7066667,445.9033333,0.415636859,0.344708494,0.829350158,0.1,0.04,6.32,0.02,54.52,1.63,18.47,6.13,0.42,5.83,2.21,1.45,0.45,0.02,97.61,-19.33,49.58,7.76,15.21,3.26,3.34,"",-0.873887829669488,-1.41499462162786,-0.855291855252066,0.571743252875508,-0.825356588108076,0.150864218867496
"2020","147_1","TH6196","Female","n",12,620,"8/9/2020","10:25:00 PM",353.02,185.2733333,167.7466667,673.4933333,0.4751761,0.249069528,0.524162575,2.51,0.04,3.67,0.02,60.5,0.47,14.93,5.46,0.27,5.64,2.01,1.94,0.26,5.11,102.83,-19.16,46.41,8.45,14.03,3.31,2.64,"",0.303105238218696,-0.696525210071849,0.607707370836994,0.254616328613893,-1.19390128036617,0.266157970068381
